Date,Team1,Team1_Runs,Team2,Team2_Runs
"Friday, April 5, 2024",Chicago White Sox,1,Kansas City Royals,2
"Friday, April 5, 2024",Seattle Mariners,5,Milwaukee Brewers,6
"Friday, April 5, 2024",Toronto Blue Jays,3,New York Yankees,0
"Friday, April 5, 2024",Baltimore Orioles,5,Pittsburgh Pirates,2
"Friday, April 5, 2024",San Diego Padres,2,San Francisco Giants,3
"Friday, April 5, 2024",Houston Astros,2,Texas Rangers,10
"Friday, April 5, 2024",Philadelphia Phillies,4,Washington Nationals,0
"Saturday, April 6, 2024",Boston Red Sox,1,Los Angeles Angels,2
"Saturday, April 6, 2024",Arizona D'Backs,8,Atlanta Braves,9
"Saturday, April 6, 2024",Los Angeles Dodgers,4,Chicago Cubs,1
"Saturday, April 6, 2024",New York Mets,6,Cincinnati Reds,9
"Saturday, April 6, 2024",Tampa Bay Rays,8,Colorado Rockies,6
"Saturday, April 6, 2024",Oakland Athletics,4,Detroit Tigers,0
"Saturday, April 6, 2024",Chicago White Sox,0,Kansas City Royals,3
"Saturday, April 6, 2024",Seattle Mariners,5,Milwaukee Brewers,3
"Saturday, April 6, 2024",Cleveland Guardians,3,Minnesota Twins,1
"Saturday, April 6, 2024",Toronto Blue Jays,8,New York Yankees,9
"Saturday, April 6, 2024",Baltimore Orioles,4,Pittsburgh Pirates,5
"Saturday, April 6, 2024",San Diego Padres,4,San Francisco Giants,0
"Saturday, April 6, 2024",Miami Marlins,1,St. Louis Cardinals,3
"Saturday, April 6, 2024",Houston Astros,2,Texas Rangers,7
"Saturday, April 6, 2024",Philadelphia Phillies,5,Washington Nationals,2
"Sunday, April 7, 2024",Boston Red Sox,12,Los Angeles Angels,2
"Sunday, April 7, 2024",Arizona D'Backs,2,Atlanta Braves,5
"Sunday, April 7, 2024",Los Angeles Dodgers,1,Chicago Cubs,8
"Sunday, April 7, 2024",New York Mets,3,Cincinnati Reds,1
"Sunday, April 7, 2024",Tampa Bay Rays,3,Colorado Rockies,2
"Sunday, April 7, 2024",Oakland Athletics,7,Detroit Tigers,1
"Sunday, April 7, 2024",Chicago White Sox,3,Kansas City Royals,5
"Sunday, April 7, 2024",Seattle Mariners,4,Milwaukee Brewers,12
"Sunday, April 7, 2024",Toronto Blue Jays,3,New York Yankees,8
"Sunday, April 7, 2024",Baltimore Orioles,2,Pittsburgh Pirates,3
"Sunday, April 7, 2024",San Diego Padres,2,San Francisco Giants,3
"Sunday, April 7, 2024",Miami Marlins,10,St. Louis Cardinals,3
"Sunday, April 7, 2024",Houston Astros,3,Texas Rangers,1
"Sunday, April 7, 2024",Philadelphia Phillies,2,Washington Nationals,3
"Monday, April 8, 2024",Tampa Bay Rays,1,Los Angeles Angels,7
"Monday, April 8, 2024",New York Mets,8,Atlanta Braves,7
"Monday, April 8, 2024",Milwaukee Brewers,8,Cincinnati Reds,10
"Monday, April 8, 2024",Chicago White Sox,0,Cleveland Guardians,4
"Monday, April 8, 2024",Arizona D'Backs,5,Colorado Rockies,7
"Monday, April 8, 2024",Los Angeles Dodgers,4,Minnesota Twins,2
"Monday, April 8, 2024",Miami Marlins,0,New York Yankees,7
"Monday, April 8, 2024",Detroit Tigers,4,Pittsburgh Pirates,7
"Monday, April 8, 2024",Chicago Cubs,8,San Diego Padres,9
"Monday, April 8, 2024",Washington Nationals,8,San Francisco Giants,1
"Monday, April 8, 2024",Philadelphia Phillies,5,St. Louis Cardinals,3
"Monday, April 8, 2024",Houston Astros,10,Texas Rangers,5
"Monday, April 8, 2024",Seattle Mariners,2,Toronto Blue Jays,5
"Tuesday, April 9, 2024",Tampa Bay Rays,6,Los Angeles Angels,4
"Tuesday, April 9, 2024",New York Mets,5,Atlanta Braves,6
"Tuesday, April 9, 2024",Baltimore Orioles,7,Boston Red Sox,1
"Tuesday, April 9, 2024",Milwaukee Brewers,9,Cincinnati Reds,5
"Tuesday, April 9, 2024",Chicago White Sox,7,Cleveland Guardians,5
"Tuesday, April 9, 2024",Arizona D'Backs,3,Colorado Rockies,2
"Tuesday, April 9, 2024",Houston Astros,3,Kansas City Royals,4
"Tuesday, April 9, 2024",Los Angeles Dodgers,6,Minnesota Twins,3
"Tuesday, April 9, 2024",Miami Marlins,2,New York Yankees,3
"Tuesday, April 9, 2024",Detroit Tigers,5,Pittsburgh Pirates,3
"Tuesday, April 9, 2024",Chicago Cubs,5,San Diego Padres,1
"Tuesday, April 9, 2024",Washington Nationals,5,San Francisco Giants,3
"Tuesday, April 9, 2024",Philadelphia Phillies,0,St. Louis Cardinals,3
"Tuesday, April 9, 2024",Oakland Athletics,4,Texas Rangers,3
"Tuesday, April 9, 2024",Seattle Mariners,3,Toronto Blue Jays,5
"Wednesday, April 10, 2024",Tampa Bay Rays,4,Los Angeles Angels,2
"Wednesday, April 10, 2024",Baltimore Orioles,7,Boston Red Sox,5
"Wednesday, April 10, 2024",Milwaukee Brewers,7,Cincinnati Reds,2
"Wednesday, April 10, 2024",Chicago White Sox,6,Cleveland Guardians,7
"Wednesday, April 10, 2024",Arizona D'Backs,5,Colorado Rockies,3
"Wednesday, April 10, 2024",Houston Astros,2,Kansas City Royals,11
"Wednesday, April 10, 2024",Los Angeles Dodgers,2,Minnesota Twins,3
"Wednesday, April 10, 2024",Miami Marlins,5,New York Yankees,2
"Wednesday, April 10, 2024",Chicago Cubs,2,San Diego Padres,10
"Wednesday, April 10, 2024",Washington Nationals,1,San Francisco Giants,7
"Wednesday, April 10, 2024",Philadelphia Phillies,4,St. Louis Cardinals,3
"Wednesday, April 10, 2024",Oakland Athletics,2,Texas Rangers,6
"Wednesday, April 10, 2024",Seattle Mariners,6,Toronto Blue Jays,1
"Thursday, April 11, 2024",New York Mets,16,Atlanta Braves,4
"Thursday, April 11, 2024",Baltimore Orioles,9,Boston Red Sox,4
"Thursday, April 11, 2024",Houston Astros,3,Kansas City Royals,13
"Thursday, April 11, 2024",Pittsburgh Pirates,1,Philadelphia Phillies,5
"Thursday, April 11, 2024",Oakland Athletics,1,Texas Rangers,0
"Friday, April 12, 2024",St. Louis Cardinals,9,Arizona D'Backs,6
"Friday, April 12, 2024",Milwaukee Brewers,11,Baltimore Orioles,1
"Friday, April 12, 2024",Los Angeles Angels,7,Boston Red Sox,0
"Friday, April 12, 2024",Cincinnati Reds,11,Chicago White Sox,1
"Friday, April 12, 2024",Minnesota Twins,2,Detroit Tigers,8
"Friday, April 12, 2024",Texas Rangers,12,Houston Astros,8
"Friday, April 12, 2024",San Diego Padres,8,Los Angeles Dodgers,7
"Friday, April 12, 2024",Atlanta Braves,8,Miami Marlins,1
"Friday, April 12, 2024",Kansas City Royals,1,New York Mets,6
"Friday, April 12, 2024",Washington Nationals,1,Oakland Athletics,2
"Friday, April 12, 2024",Pittsburgh Pirates,5,Philadelphia Phillies,2
"Friday, April 12, 2024",Chicago Cubs,2,Seattle Mariners,4
"Friday, April 12, 2024",San Francisco Giants,1,Tampa Bay Rays,2
"Friday, April 12, 2024",Colorado Rockies,12,Toronto Blue Jays,4
"Saturday, April 13, 2024",St. Louis Cardinals,2,Arizona D'Backs,4
"Saturday, April 13, 2024",Milwaukee Brewers,11,Baltimore Orioles,5
"Saturday, April 13, 2024",Los Angeles Angels,2,Boston Red Sox,7
"Saturday, April 13, 2024",Cincinnati Reds,5,Chicago White Sox,0
"Saturday, April 13, 2024",New York Yankees,3,Cleveland Guardians,2
"Saturday, April 13, 2024",New York Yankees,8,Cleveland Guardians,2
"Saturday, April 13, 2024",Minnesota Twins,11,Detroit Tigers,5
"Saturday, April 13, 2024",Minnesota Twins,4,Detroit Tigers,1
"Saturday, April 13, 2024",Texas Rangers,2,Houston Astros,9
"Saturday, April 13, 2024",San Diego Padres,2,Los Angeles Dodgers,5
"Saturday, April 13, 2024",Atlanta Braves,1,Miami Marlins,5
"Saturday, April 13, 2024",Kansas City Royals,11,New York Mets,7
"Saturday, April 13, 2024",Washington Nationals,3,Oakland Athletics,1
"Saturday, April 13, 2024",Pittsburgh Pirates,3,Philadelphia Phillies,4
"Saturday, April 13, 2024",Chicago Cubs,4,Seattle Mariners,1
"Saturday, April 13, 2024",San Francisco Giants,11,Tampa Bay Rays,2
"Saturday, April 13, 2024",Colorado Rockies,3,Toronto Blue Jays,5
"Sunday, April 14, 2024",St. Louis Cardinals,0,Arizona D'Backs,5
"Sunday, April 14, 2024",Milwaukee Brewers,4,Baltimore Orioles,6
"Sunday, April 14, 2024",Los Angeles Angels,4,Boston Red Sox,5
"Sunday, April 14, 2024",Cincinnati Reds,11,Chicago White Sox,4
"Sunday, April 14, 2024",New York Yankees,7,Cleveland Guardians,8
"Sunday, April 14, 2024",Minnesota Twins,3,Detroit Tigers,4
"Sunday, April 14, 2024",Texas Rangers,5,Houston Astros,8
"Sunday, April 14, 2024",San Diego Padres,6,Los Angeles Dodgers,3
"Sunday, April 14, 2024",Atlanta Braves,9,Miami Marlins,7
"Sunday, April 14, 2024",Kansas City Royals,1,New York Mets,2
"Sunday, April 14, 2024",Washington Nationals,6,Oakland Athletics,7
"Sunday, April 14, 2024",Pittsburgh Pirates,9,Philadelphia Phillies,2
"Sunday, April 14, 2024",Chicago Cubs,3,Seattle Mariners,2
"Sunday, April 14, 2024",San Francisco Giants,4,Tampa Bay Rays,9
"Sunday, April 14, 2024",Colorado Rockies,0,Toronto Blue Jays,5
"Monday, April 15, 2024",Chicago Cubs,3,Arizona D'Backs,2
"Monday, April 15, 2024",Minnesota Twins,4,Baltimore Orioles,7
"Monday, April 15, 2024",Cleveland Guardians,6,Boston Red Sox,0
"Monday, April 15, 2024",Kansas City Royals,2,Chicago White Sox,0
"Monday, April 15, 2024",Texas Rangers,1,Detroit Tigers,0
"Monday, April 15, 2024",Atlanta Braves,6,Houston Astros,1
"Monday, April 15, 2024",Washington Nationals,6,Los Angeles Dodgers,4
"Monday, April 15, 2024",San Francisco Giants,4,Miami Marlins,3
"Monday, April 15, 2024",San Diego Padres,7,Milwaukee Brewers,3
"Monday, April 15, 2024",Pittsburgh Pirates,3,New York Mets,6
"Monday, April 15, 2024",St. Louis Cardinals,3,Oakland Athletics,1
"Monday, April 15, 2024",Colorado Rockies,1,Philadelphia Phillies,2
"Monday, April 15, 2024",Cincinnati Reds,3,Seattle Mariners,9
"Monday, April 15, 2024",Los Angeles Angels,7,Tampa Bay Rays,3
"Monday, April 15, 2024",New York Yankees,1,Toronto Blue Jays,3
"Tuesday, April 16, 2024",Chicago Cubs,11,Arizona D'Backs,12
"Tuesday, April 16, 2024",Minnesota Twins,3,Baltimore Orioles,11
"Tuesday, April 16, 2024",Cleveland Guardians,10,Boston Red Sox,7
"Tuesday, April 16, 2024",Texas Rangers,2,Detroit Tigers,4
"Tuesday, April 16, 2024",Atlanta Braves,6,Houston Astros,2
"Tuesday, April 16, 2024",Washington Nationals,2,Los Angeles Dodgers,6
"Tuesday, April 16, 2024",San Francisco Giants,3,Miami Marlins,6
"Tuesday, April 16, 2024",San Diego Padres,6,Milwaukee Brewers,3
"Tuesday, April 16, 2024",Pittsburgh Pirates,1,New York Mets,3
"Tuesday, April 16, 2024",St. Louis Cardinals,3,Oakland Athletics,2
"Tuesday, April 16, 2024",Colorado Rockies,0,Philadelphia Phillies,5
"Tuesday, April 16, 2024",Cincinnati Reds,1,Seattle Mariners,3
"Tuesday, April 16, 2024",Los Angeles Angels,6,Tampa Bay Rays,7
"Tuesday, April 16, 2024",New York Yankees,4,Toronto Blue Jays,5
"Wednesday, April 17, 2024",Chicago Cubs,5,Arizona D'Backs,3
"Wednesday, April 17, 2024",Minnesota Twins,2,Baltimore Orioles,4
"Wednesday, April 17, 2024",Cleveland Guardians,0,Boston Red Sox,2
"Wednesday, April 17, 2024",Kansas City Royals,4,Chicago White Sox,2
"Wednesday, April 17, 2024",Kansas City Royals,1,Chicago White Sox,2
"Wednesday, April 17, 2024",Texas Rangers,5,Detroit Tigers,4
"Wednesday, April 17, 2024",Atlanta Braves,5,Houston Astros,4
"Wednesday, April 17, 2024",Washington Nationals,2,Los Angeles Dodgers,0
"Wednesday, April 17, 2024",San Francisco Giants,3,Miami Marlins,1
"Wednesday, April 17, 2024",San Diego Padres,0,Milwaukee Brewers,1
"Wednesday, April 17, 2024",Pittsburgh Pirates,1,New York Mets,9
"Wednesday, April 17, 2024",St. Louis Cardinals,3,Oakland Athletics,6
"Wednesday, April 17, 2024",Colorado Rockies,6,Philadelphia Phillies,7
"Wednesday, April 17, 2024",Cincinnati Reds,1,Seattle Mariners,5
"Wednesday, April 17, 2024",Los Angeles Angels,5,Tampa Bay Rays,4
"Wednesday, April 17, 2024",New York Yankees,6,Toronto Blue Jays,4
"Thursday, April 18, 2024",Cleveland Guardians,5,Boston Red Sox,4
"Thursday, April 18, 2024",Texas Rangers,9,Detroit Tigers,7
"Thursday, April 18, 2024",Arizona D'Backs,0,San Francisco Giants,5
"Thursday, April 18, 2024",Los Angeles Angels,1,Tampa Bay Rays,2
"Friday, April 19, 2024",Texas Rangers,3,Atlanta Braves,8
"Friday, April 19, 2024",Miami Marlins,3,Chicago Cubs,8
"Friday, April 19, 2024",Los Angeles Angels,1,Cincinnati Reds,7
"Friday, April 19, 2024",Oakland Athletics,2,Cleveland Guardians,10
"Friday, April 19, 2024",Baltimore Orioles,4,Kansas City Royals,9
"Friday, April 19, 2024",New York Mets,9,Los Angeles Dodgers,4
"Friday, April 19, 2024",Detroit Tigers,5,Minnesota Twins,4
"Friday, April 19, 2024",Tampa Bay Rays,3,New York Yankees,5
"Friday, April 19, 2024",Chicago White Sox,0,Philadelphia Phillies,7
"Friday, April 19, 2024",Boston Red Sox,8,Pittsburgh Pirates,1
"Friday, April 19, 2024",Toronto Blue Jays,5,San Diego Padres,1
"Friday, April 19, 2024",Arizona D'Backs,17,San Francisco Giants,1
"Friday, April 19, 2024",Milwaukee Brewers,2,St. Louis Cardinals,1
"Friday, April 19, 2024",Houston Astros,5,Washington Nationals,3
"Saturday, April 20, 2024",Texas Rangers,2,Atlanta Braves,5
"Saturday, April 20, 2024",Miami Marlins,3,Chicago Cubs,2
"Saturday, April 20, 2024",Miami Marlins,3,Chicago Cubs,5
"Saturday, April 20, 2024",Los Angeles Angels,5,Cincinnati Reds,7
"Saturday, April 20, 2024",Oakland Athletics,3,Cleveland Guardians,6
"Saturday, April 20, 2024",Seattle Mariners,7,Colorado Rockies,0
"Saturday, April 20, 2024",Baltimore Orioles,9,Kansas City Royals,7
"Saturday, April 20, 2024",New York Mets,6,Los Angeles Dodgers,4
"Saturday, April 20, 2024",Detroit Tigers,3,Minnesota Twins,4
"Saturday, April 20, 2024",Tampa Bay Rays,2,New York Yankees,0
"Saturday, April 20, 2024",Chicago White Sox,5,Philadelphia Phillies,9
"Saturday, April 20, 2024",Boston Red Sox,4,Pittsburgh Pirates,2
"Saturday, April 20, 2024",Toronto Blue Jays,5,San Diego Padres,2
"Saturday, April 20, 2024",Arizona D'Backs,3,San Francisco Giants,7
"Saturday, April 20, 2024",Milwaukee Brewers,12,St. Louis Cardinals,5
"Saturday, April 20, 2024",Houston Astros,4,Washington Nationals,5
"Sunday, April 21, 2024",Texas Rangers,6,Atlanta Braves,4
"Sunday, April 21, 2024",Miami Marlins,6,Chicago Cubs,3
"Sunday, April 21, 2024",Los Angeles Angels,0,Cincinnati Reds,3
"Sunday, April 21, 2024",Oakland Athletics,2,Cleveland Guardians,6
"Sunday, April 21, 2024",Seattle Mariners,1,Colorado Rockies,2
"Sunday, April 21, 2024",Seattle Mariners,10,Colorado Rockies,2
"Sunday, April 21, 2024",Baltimore Orioles,5,Kansas City Royals,0
"Sunday, April 21, 2024",New York Mets,0,Los Angeles Dodgers,10
"Sunday, April 21, 2024",Detroit Tigers,6,Minnesota Twins,1
"Sunday, April 21, 2024",Tampa Bay Rays,4,New York Yankees,5
"Sunday, April 21, 2024",Chicago White Sox,2,Philadelphia Phillies,8
"Sunday, April 21, 2024",Boston Red Sox,6,Pittsburgh Pirates,1
"Sunday, April 21, 2024",Toronto Blue Jays,3,San Diego Padres,6
"Sunday, April 21, 2024",Arizona D'Backs,5,San Francisco Giants,3
"Sunday, April 21, 2024",Milwaukee Brewers,2,St. Louis Cardinals,0
"Sunday, April 21, 2024",Houston Astros,0,Washington Nationals,6
"Monday, April 22, 2024",Baltimore Orioles,4,Los Angeles Angels,2
"Monday, April 22, 2024",Miami Marlins,0,Atlanta Braves,3
"Monday, April 22, 2024",Philadelphia Phillies,7,Cincinnati Reds,0
"Monday, April 22, 2024",San Diego Padres,3,Colorado Rockies,1
"Monday, April 22, 2024",Toronto Blue Jays,5,Kansas City Royals,3
"Monday, April 22, 2024",Chicago White Sox,0,Minnesota Twins,7
"Monday, April 22, 2024",Oakland Athletics,2,New York Yankees,0
"Monday, April 22, 2024",Milwaukee Brewers,2,Pittsburgh Pirates,4
"Monday, April 22, 2024",New York Mets,2,San Francisco Giants,5
"Monday, April 22, 2024",Arizona D'Backs,3,St. Louis Cardinals,5
"Monday, April 22, 2024",Detroit Tigers,7,Tampa Bay Rays,1
"Tuesday, April 23, 2024",Baltimore Orioles,4,Los Angeles Angels,7
"Tuesday, April 23, 2024",Miami Marlins,0,Atlanta Braves,5
"Tuesday, April 23, 2024",Houston Astros,2,Chicago Cubs,7
"Tuesday, April 23, 2024",Philadelphia Phillies,1,Cincinnati Reds,8
"Tuesday, April 23, 2024",Boston Red Sox,1,Cleveland Guardians,4
"Tuesday, April 23, 2024",San Diego Padres,4,Colorado Rockies,7
"Tuesday, April 23, 2024",Toronto Blue Jays,2,Kansas City Royals,3
"Tuesday, April 23, 2024",Chicago White Sox,5,Minnesota Twins,6
"Tuesday, April 23, 2024",Oakland Athletics,3,New York Yankees,4
"Tuesday, April 23, 2024",Milwaukee Brewers,1,Pittsburgh Pirates,2
"Tuesday, April 23, 2024",New York Mets,1,San Francisco Giants,5
"Tuesday, April 23, 2024",Arizona D'Backs,14,St. Louis Cardinals,1
"Tuesday, April 23, 2024",Detroit Tigers,4,Tampa Bay Rays,2
"Tuesday, April 23, 2024",Seattle Mariners,4,Texas Rangers,0
"Tuesday, April 23, 2024",Los Angeles Dodgers,4,Washington Nationals,1
"Wednesday, April 24, 2024",Baltimore Orioles,6,Los Angeles Angels,5
"Wednesday, April 24, 2024",Miami Marlins,3,Atlanta Braves,4
"Wednesday, April 24, 2024",Houston Astros,3,Chicago Cubs,4
"Wednesday, April 24, 2024",Philadelphia Phillies,4,Cincinnati Reds,7
"Wednesday, April 24, 2024",Boston Red Sox,8,Cleveland Guardians,0
"Wednesday, April 24, 2024",San Diego Padres,5,Colorado Rockies,2
"Wednesday, April 24, 2024",Toronto Blue Jays,2,Kansas City Royals,3
"Wednesday, April 24, 2024",Chicago White Sox,3,Minnesota Twins,6
"Wednesday, April 24, 2024",Oakland Athletics,3,New York Yankees,7
"Wednesday, April 24, 2024",Milwaukee Brewers,3,Pittsburgh Pirates,2
"Wednesday, April 24, 2024",New York Mets,8,San Francisco Giants,2
"Wednesday, April 24, 2024",Arizona D'Backs,1,St. Louis Cardinals,5
"Wednesday, April 24, 2024",Detroit Tigers,5,Tampa Bay Rays,7
"Wednesday, April 24, 2024",Seattle Mariners,1,Texas Rangers,5
"Wednesday, April 24, 2024",Los Angeles Dodgers,11,Washington Nationals,2
"Thursday, April 25, 2024",Houston Astros,1,Chicago Cubs,3
"Thursday, April 25, 2024",Philadelphia Phillies,5,Cincinnati Reds,0
"Thursday, April 25, 2024",Boston Red Sox,4,Cleveland Guardians,6
"Thursday, April 25, 2024",San Diego Padres,9,Colorado Rockies,10
"Thursday, April 25, 2024",Toronto Blue Jays,1,Kansas City Royals,2
"Thursday, April 25, 2024",Chicago White Sox,3,Minnesota Twins,6
"Thursday, April 25, 2024",Oakland Athletics,3,New York Yankees,1
"Thursday, April 25, 2024",Milwaukee Brewers,7,Pittsburgh Pirates,5
"Thursday, April 25, 2024",Seattle Mariners,4,Texas Rangers,3
"Thursday, April 25, 2024",Los Angeles Dodgers,2,Washington Nationals,1
"Friday, April 26, 2024",Minnesota Twins,5,Los Angeles Angels,3
